lab,rowid,period_year,period_quarter,count_tested,count_positive
2,35889,2007,1,52,7
14,35941,2007,1,118,0
17,35951,2007,1,34,4
21,35966,2007,1,26,0
32,35859,2007,1,50,0
36,35930,2007,1,11,6
42,35872,2007,1,85,23
2,35751,2007,2,22,5
14,35803,2007,2,86,0
21,35830,2007,2,18,0
22,35780,2007,2,176,20
25,35818,2007,2,98,23
36,35793,2007,2,6,4
2,35636,2007,3,20,4
14,35689,2007,3,58,0
20,35651,2007,3,485,0
22,35667,2007,3,75,15
25,35699,2007,3,97,8
36,35680,2007,3,1,0
42,35620,2007,3,100,23
2,35484,2007,4,57,7
9,35509,2007,4,97,0
14,35547,2007,4,136,0
17,35559,2007,4,29,6
20,35500,2007,4,528,0
21,35573,2007,4,57,12
22,35519,2007,4,151,34
25,35584,2007,4,35,5
32,35457,2007,4,47,0
36,35535,2007,4,31,0
42,35470,2007,4,112,32
2,35317,2008,1,53,4
14,35388,2008,1,340,0
15,35429,2008,1,938,90
17,35400,2008,1,30,4
21,35410,2008,1,33,14
22,35354,2008,1,127,19
25,35425,2008,1,40,0
32,35287,2008,1,33,0
36,35374,2008,1,1,0
42,35303,2008,1,75,16
2,35110,2008,3,59,10
17,35216,2008,3,16,5
20,35176,2008,3,468,127
21,35233,2008,3,50,3
22,35140,2008,3,78,16
25,35257,2008,3,38,3
32,35133,2008,3,30,1
46,35244,2008,3,28,0
2,34866,2008,4,56,13
9,34980,2008,4,104,0
11,34992,2008,4,80,10
14,35029,2008,4,476,0
17,35042,2008,4,37,9
20,34951,2008,4,401,128
21,35065,2008,4,34,3
22,34910,2008,4,102,23
25,35092,2008,4,38,4
32,34895,2008,4,31,0
35,34969,2008,4,5,0
37,35012,2008,4,19,12
46,35077,2008,4,30,0
2,34367,2009,1,44,4
10,34579,2009,1,18,8
11,34502,2009,1,81,21
12,34522,2009,1,73,5
14,34554,2009,1,427,0
15,34613,2009,1,1534,307
17,34567,2009,1,26,4
20,34455,2009,1,576,230
